2022-08-12 13:33:58,540| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-12 13:33:58,540| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-12 13:34:21,284| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:34:21,297| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:34:21,302| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:34:49,432| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:34:49,434| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:34:49,436| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:34:57,944| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:34:57,946| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:34:57,948| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:34:59,757| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:34:59,764| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:34:59,765| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:37:22,803| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:37:22,805| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:37:22,874| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-12 13:37:22,875| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-12 13:37:22,876| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-12 13:37:27,142| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:37:27,146| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-12 13:37:27,148| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-12 13:38:36,245| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
