2022-08-11 09:33:58,621| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:33:58,624| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:34:50,819| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:34:50,822| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:34:50,823| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:37:45,183| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:37:45,186| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:37:45,187| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:38:13,620| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:38:13,623| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:38:13,624| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:39:29,471| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:39:29,475| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:39:29,478| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:39:36,654| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:39:36,674| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:39:36,677| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:39:40,610| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:39:40,614| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:39:40,615| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:45:27,014| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:45:27,021| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:45:27,026| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:45:39,746| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:45:39,749| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:45:39,751| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:45:43,028| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:45:43,035| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:45:43,039| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:46:18,462| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:46:18,465| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:46:18,467| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:46:52,829| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:46:52,832| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:46:52,834| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:48:11,361| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:48:11,363| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:48:11,365| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:48:37,011| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:48:37,013| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:48:37,016| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:49:27,125| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:49:27,127| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:49:27,130| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:50:49,674| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:50:49,676| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:50:49,677| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:51:53,177| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:51:53,179| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:51:53,181| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:52:17,758| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:52:17,761| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:52:17,762| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 09:56:35,693| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:56:35,697| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 09:56:35,698| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 10:04:32,480| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:04:32,482| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:04:32,484| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 10:21:56,199| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:21:56,202| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 10:21:56,264| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-11 10:21:56,271| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-11 10:21:56,271| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-11 10:22:37,087| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:22:37,089| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:22:37,091| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 10:24:50,531| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:24:50,558| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:24:50,560| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 10:24:58,627| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:24:58,629| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 10:24:58,632| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:54:11,349| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:54:11,351| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:54:11,394| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-11 11:54:11,398| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-11 11:54:11,398| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-11 11:54:12,962| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:54:12,969| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:54:12,971| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:55:10,260| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:10,266| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:10,271| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:55:12,696| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:12,698| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:12,700| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:55:26,930| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:26,933| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:26,937| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:55:45,780| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:45,782| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:45,786| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:55:52,325| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:52,328| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:55:52,331| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:56:17,294| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:56:17,297| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:56:17,299| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:57:00,694| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:57:00,697| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:57:00,697| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:57:18,273| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:57:18,276| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:57:18,282| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:57:21,896| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:57:21,898| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:57:21,901| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:57:33,391| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:57:33,394| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:57:33,396| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:58:11,042| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:58:11,044| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:58:11,046| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:58:19,144| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:58:19,147| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:58:19,149| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 11:59:00,326| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:59:00,329| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 11:59:00,332| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:11:19,596| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:11:19,598| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:11:19,647| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-11 15:11:19,650| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-11 15:11:19,650| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-11 15:11:22,091| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:11:22,099| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:11:22,101| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:14:56,026| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:14:56,029| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:14:56,094| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-11 15:14:56,094| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-11 15:14:56,095| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-11 15:14:59,097| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:14:59,103| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:14:59,104| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:16:44,469| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:16:44,471| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:16:44,538| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/nodes| 200 
2022-08-11 15:16:44,539| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/preferences/shortcuts| 200 
2022-08-11 15:16:44,539| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/user/shortcuts| 200 
2022-08-11 15:16:45,945| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:16:45,952| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:16:45,953| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:16:56,222| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:16:56,224| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:16:56,227| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:17:22,318| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:17:22,320| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:17:22,322| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:17:56,686| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:17:56,689| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:17:56,691| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:18:14,754| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:18:14,755| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:18:14,757| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:18:52,822| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:18:52,824| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
2022-08-11 15:18:52,827| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/uiSettings| 200 
2022-08-11 15:19:02,261| Administrator| Bearer| 127.0.0.1| unknown| GET| /internal/activeAdministrators| 200 
