2022-08-11 10:30:11,478| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| failure| | Invalid Request| 1 
2022-08-11 10:31:31,214| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 10:31:31,214| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| failure| | Invalid Request| 1 
2022-08-11 11:49:18,958| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 11:49:18,959| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| failure| | Invalid Request| 1 
2022-08-11 11:50:35,418| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 11:50:35,419| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| failure| | Invalid Request| 1 
2022-08-11 11:50:54,433| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 11:50:54,433| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| failure| | Invalid Request| 1 
2022-08-11 11:50:59,268| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 11:50:59,268| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | | OAuth20| marinoduran-r.attlocal.net| AS| failure| | Invalid Request| 1 
2022-08-11 11:51:29,269| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 11:51:29,272| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 15:09:54,508| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| | 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 15:09:54,512| tid:MHL0yJmQNXyd7-zpdnJ9Xqs09Q8| OAuth| cc_secret_client| 127.0.0.1 | | cc_secret_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 4 
2022-08-11 15:13:18,806| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| | 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| inprogress| HTMLFormSimplePCV| | 96 
2022-08-11 15:13:33,351| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| joe| 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| success| HTMLFormSimplePCV| | 19 
2022-08-11 15:13:35,454| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| HTMLFormSimplePCV| | 14 
2022-08-11 15:13:45,305| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:13:45,315| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 11 
2022-08-11 15:15:41,855| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:15:41,885| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 31 
2022-08-11 15:21:41,821| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| | 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| inprogress| HTMLFormSimplePCV| | 3 
2022-08-11 15:21:48,799| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| joe| 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| success| HTMLFormSimplePCV| | 5 
2022-08-11 15:21:50,901| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| HTMLFormSimplePCV| | 2 
2022-08-11 15:21:54,679| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:21:54,732| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 54 
2022-08-11 15:28:06,030| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| | 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| inprogress| HTMLFormSimplePCV| | 3 
2022-08-11 15:28:12,773| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| joe| 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| success| HTMLFormSimplePCV| | 7 
2022-08-11 15:28:14,154| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| HTMLFormSimplePCV| | 1 
2022-08-11 15:28:15,683| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 15:28:15,690| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 7 
2022-08-11 15:28:34,017| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:28:34,025| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 9 
2022-08-11 15:38:02,994| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| | 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| inprogress| HTMLFormSimplePCV| | 31 
2022-08-11 15:38:10,033| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| joe| 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| success| HTMLFormSimplePCV| | 5 
2022-08-11 15:38:10,996| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| HTMLFormSimplePCV| | 2 
2022-08-11 15:38:12,209| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 15:38:12,216| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 7 
2022-08-11 15:38:28,740| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 15:38:28,747| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 7 
2022-08-11 15:42:11,730| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| | 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| inprogress| HTMLFormSimplePCV| | 3 
2022-08-11 15:42:17,679| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| joe| 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| success| HTMLFormSimplePCV| | 5 
